"country","gci_tier","iso3c","year","gci_overall","gci_rank","source_slug"
"Tuvalu",NA,"TUV",2020,5.78,168,"d-str-gci.01-2021-htm-e"
"Tuvalu",4,"TUV",2024,37.5,NA,NA
"Tanzania",NA,"TZA",2020,90.58,37,"d-str-gci.01-2021-htm-e"
"Tanzania",1,"TZA",2024,97.5,NA,NA
"Uganda",NA,"UGA",2020,69.98,72,"d-str-gci.01-2021-htm-e"
"Uganda",3,"UGA",2024,70,NA,NA
"Ukraine",NA,"UKR",2020,65.93,78,"d-str-gci.01-2021-htm-e"
"Ukraine",3,"UKR",2024,70,NA,NA
"Uruguay",NA,"URY",2020,75.15,64,"d-str-gci.01-2021-htm-e"
"Uruguay",2,"URY",2024,90,NA,NA
"United States of America",NA,"USA",2020,100,1,"d-str-gci.01-2021-htm-e"
"United States",1,"USA",2024,97.5,NA,NA
"Uzbekistan",NA,"UZB",2020,71.11,70,"d-str-gci.01-2021-htm-e"
"Uzbekistan",2,"UZB",2024,90,NA,NA
"Holy See",NA,"VAT",2020,0,182,"d-str-gci.01-2021-htm-e"
"Holy See",5,"VAT",2024,10,NA,NA
"Saint Vincent and the Grenadines",NA,"VCT",2020,12.18,154,"d-str-gci.01-2021-htm-e"
"Saint Vincent and",4,"VCT",2024,37.5,NA,NA
"Venezuela",NA,"VEN",2020,27.06,116,"d-str-gci.01-2021-htm-e"
"Venezuela",4,"VEN",2024,37.5,NA,NA
"Vietnam",NA,"VNM",2020,94.59,25,"d-str-gci.01-2021-htm-e"
"Vietnam",1,"VNM",2024,97.5,NA,NA
"Vanuatu",NA,"VUT",2020,12.88,152,"d-str-gci.01-2021-htm-e"
"Vanuatu",3,"VUT",2024,70,NA,NA
"Samoa",NA,"WSM",2020,29.33,111,"d-str-gci.01-2021-htm-e"
"Samoa",4,"WSM",2024,37.5,NA,NA
"Yemen",NA,"YEM",2020,0,182,"d-str-gci.01-2021-htm-e"
"Yemen",5,"YEM",2024,10,NA,NA
"South Africa",NA,"ZAF",2020,78.46,59,"d-str-gci.01-2021-htm-e"
"South Africa",2,"ZAF",2024,90,NA,NA
"Zambia",NA,"ZMB",2020,68.88,73,"d-str-gci.01-2021-htm-e"
"Zambia",2,"ZMB",2024,90,NA,NA
"Zimbabwe",NA,"ZWE",2020,36.49,98,"d-str-gci.01-2021-htm-e"
"Zimbabwe",4,"ZWE",2024,37.5,NA,NA
