"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs"
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Upper middle income","gci_overall","l1_gci_overall",-198.179953063466,82.1304075755042,0.020496488230754,"-198.180*","(82.130)","0.020",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Upper middle income","gci_overall","l1_inflation_cpi",-0.793604591938476,70.1576049256313,0.99103096068042,"-0.794","(70.158)","0.991",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Upper middle income","gci_overall","l1_trade_gdp",-0.118675438864974,49.621985266686,0.998103677097805,"-0.119","(49.622)","0.998",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Upper middle income","gci_overall","l1_population_total",0.000129185009250135,0.000136785410053419,0.350617187408093,"0.000","(0.000)","0.351",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Upper middle income","gci_overall_norm","l1_gci_overall_norm",-15308.7593859017,10168.8438965629,0.140063144429634,"-15308.759","(10168.844)","0.140",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Upper middle income","gci_overall_norm","l1_inflation_cpi",7.25709941541177,73.0239188247244,0.921333152956737,"7.257","(73.024)","0.921",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Upper middle income","gci_overall_norm","l1_trade_gdp",-3.03886441142106,55.1005977060312,0.956292556754827,"-3.039","(55.101)","0.956",399
"Income-group heterogeneity FE","Upper middle income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Upper middle income","gci_overall_norm","l1_population_total",0.000167320717291568,0.000132745082561268,0.214804657746577,"0.000","(0.000)","0.215",399
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__cyber_incidents_log","gcf_gdp","Upper middle income","cyber_incidents_log","l1_cyber_incidents_log",0.0717516242492668,0.513723096235306,0.889699342969597,"0.072","(0.514)","0.890",238
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__cyber_incidents_log","gcf_gdp","Upper middle income","cyber_incidents_log","l1_inflation_cpi",0.131258719575297,0.0450664941693971,0.00612220503205512,"0.131**","(0.045)","0.006",238
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__cyber_incidents_log","gcf_gdp","Upper middle income","cyber_incidents_log","l1_trade_gdp",-0.000808863225690412,0.0179051941058005,0.964217656701181,"-0.001","(0.018)","0.964",238
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__cyber_incidents_log","gcf_gdp","Upper middle income","cyber_incidents_log","l1_population_total",3.23657862718229e-08,3.90785602780451e-08,0.413001139505051,"0.000","(0.000)","0.413",238
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall","gcf_gdp","Upper middle income","gci_overall","l1_gci_overall",-0.0219147042721832,0.0480092346315975,0.650522140081791,"-0.022","(0.048)","0.651",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall","gcf_gdp","Upper middle income","gci_overall","l1_inflation_cpi",0.0621872150527187,0.0418186905099582,0.14483790075077,"0.062","(0.042)","0.145",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall","gcf_gdp","Upper middle income","gci_overall","l1_trade_gdp",0.035372223548318,0.0242240975611463,0.152043231605111,"0.035","(0.024)","0.152",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall","gcf_gdp","Upper middle income","gci_overall","l1_population_total",-3.49564025213446e-08,6.34304137792422e-08,0.584631550105556,"-0.000","(0.000)","0.585",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall_norm","gcf_gdp","Upper middle income","gci_overall_norm","l1_gci_overall_norm",-5.6187405351854,4.85980023332709,0.254471796992256,"-5.619","(4.860)","0.254",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall_norm","gcf_gdp","Upper middle income","gci_overall_norm","l1_inflation_cpi",0.0549675548922512,0.0434073146057498,0.21272355245475,"0.055","(0.043)","0.213",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall_norm","gcf_gdp","Upper middle income","gci_overall_norm","l1_trade_gdp",0.035347363724315,0.0240999550380316,0.150276704525906,"0.035","(0.024)","0.150",402
"Income-group heterogeneity FE","Upper middle income__gcf_gdp__gci_overall_norm","gcf_gdp","Upper middle income","gci_overall_norm","l1_population_total",-3.00729923092589e-08,6.14512735837348e-08,0.627246087874573,"-0.000","(0.000)","0.627",402
"Income-group heterogeneity FE","Upper middle income__employment_ratio__cyber_incidents_log","employment_ratio","Upper middle income","cyber_incidents_log","l1_cyber_incidents_log",0.323398009748647,0.166789672010008,0.0603762347505622,"0.323+","(0.167)","0.060",236
"Income-group heterogeneity FE","Upper middle income__employment_ratio__cyber_incidents_log","employment_ratio","Upper middle income","cyber_incidents_log","l1_inflation_cpi",0.0214528295646355,0.0233139175290484,0.363607701821082,"0.021","(0.023)","0.364",236
"Income-group heterogeneity FE","Upper middle income__employment_ratio__cyber_incidents_log","employment_ratio","Upper middle income","cyber_incidents_log","l1_trade_gdp",0.00857183519380126,0.0112643483715658,0.451630750991361,"0.009","(0.011)","0.452",236
"Income-group heterogeneity FE","Upper middle income__employment_ratio__cyber_incidents_log","employment_ratio","Upper middle income","cyber_incidents_log","l1_population_total",-1.39556513228004e-07,4.81084952971208e-08,0.00630960285893018,"-0.000**","(0.000)","0.006",236
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall","employment_ratio","Upper middle income","gci_overall","l1_gci_overall",-0.0386308671547815,0.0196808726174663,0.0566426451657017,"-0.039+","(0.020)","0.057",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall","employment_ratio","Upper middle income","gci_overall","l1_inflation_cpi",0.0104039103732562,0.00607295402405725,0.0944260249496859,"0.010+","(0.006)","0.094",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall","employment_ratio","Upper middle income","gci_overall","l1_trade_gdp",0.0238959189600204,0.0143073054133084,0.10269009510163,"0.024","(0.014)","0.103",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall","employment_ratio","Upper middle income","gci_overall","l1_population_total",-1.18798985494545e-07,5.62764596022166e-08,0.0410717606149969,"-0.000*","(0.000)","0.041",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall_norm","employment_ratio","Upper middle income","gci_overall_norm","l1_gci_overall_norm",1.61485491461421,4.43198494590437,0.717505532670779,"1.615","(4.432)","0.718",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall_norm","employment_ratio","Upper middle income","gci_overall_norm","l1_inflation_cpi",0.0191755996769127,0.00908280042014747,0.0410526560528835,"0.019*","(0.009)","0.041",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall_norm","employment_ratio","Upper middle income","gci_overall_norm","l1_trade_gdp",0.0239390623725754,0.0160456496345987,0.143561725650065,"0.024","(0.016)","0.144",438
"Income-group heterogeneity FE","Upper middle income__employment_ratio__gci_overall_norm","employment_ratio","Upper middle income","gci_overall_norm","l1_population_total",-1.07945886525163e-07,5.66329656872837e-08,0.0638457340861745,"-0.000+","(0.000)","0.064",438
"Income-group heterogeneity FE","Lower income__gdp_growth__cyber_incidents_log","gdp_growth","Lower income","cyber_incidents_log","l1_cyber_incidents_log",-0.420774608695716,0.66282413182856,0.529559450661332,"-0.421","(0.663)","0.530",210
